stamp,state_id,v_x,v_y
0.0,,-0.36227778127762245,1.5151942635876736
0.01,,0.05829941998598666,0.6652908280645051
0.02,,-0.012240274919036512,1.014890328176835
0.03,,-0.5960961645257163,1.353287121283401
0.04,,0.2676289851647343,1.4348070252870717
0.05,,0.07679431218743878,0.837222340561979
0.06,,0.6545022161898804,1.0730600449196013
0.07,,0.2850345793988297,0.9955574924284842
0.08,,0.01657430904168465,1.0631504508243912
0.09,,0.16203447033374044,1.4200248182857127
0.1,,0.24254195287831826,0.46245763810856544
0.11,,-0.2570996996608907,1.420897361112519
0.12,,0.014951270542147815,1.115043046197362
0.13,,-0.13961977750744858,1.308068390372962
0.14,,0.017848472304607288,1.451310307118872
0.15,,-0.0188690429531905,1.342355904088898
0.16,,0.37258098025220665,0.758786904937863
0.17,,0.5167155042323339,0.700462906222606
0.18,,-0.08105738834351597,1.2120688424020438
0.19,,-0.008891609143586998,0.7942145685947899
0.2,,0.17503819746744023,1.0833402027018362
0.21,,-0.021723061012520944,0.7540050372450886
0.22,,0.012651986924944597,1.0496304771125988
0.23,,0.37359585337081846,0.3944293686996605
0.24,,0.39736929619922057,0.897130478450199
0.25,,0.6314993044251875,1.0366425482165487
0.26,,0.3962724561423442,0.626864078361887
0.27,,0.2467765368781809,0.8636111668754415
0.28,,-0.15648437457870246,0.6201259551899223
0.29,,0.19349495219480053,0.7000156533630244
0.3,,0.052875534437687194,1.1686544768067022
0.31,,0.7670333703083031,1.1396899203057689
0.32,,0.6933539317596976,1.48827542486086
0.33,,0.6529480977551327,0.6556061019963507
0.34,,0.3001741690428683,1.1420400346225186
0.35,,0.21171169862206496,1.0822905985896316
0.36,,-0.14709883104665,0.6738616490651259
0.37,,0.5288618924029151,0.2248984758105358
0.38,,0.02063101942661716,0.9230616114862098
0.39,,-0.16353185848746515,0.9429723048410096
0.4,,0.30381370496980553,1.0099991622496516
0.41,,0.002053149721714387,0.9560563819689272
0.42,,-0.025345027545660037,0.702032759265712
0.43,,0.5616134663109553,0.4466027400928125
0.44,,0.5092925136714936,1.1590289636986115
0.45,,0.7306280713463775,0.9815529236289277
0.46,,0.3714724716840895,0.23778055810770748
0.47,,0.8535363697070293,1.1461646819346893
0.48,,0.7654547330531675,1.0245380168413392
0.49,,0.6857278604581144,1.473325876840414
0.5,,0.8924841645396302,0.686390315624375
0.51,,0.6894825963254783,1.3183895587159886
0.52,,1.0094576088351488,0.6128811558801767
0.53,,0.4259469687615038,0.9838322349223627
0.54,,0.4227470074883173,0.7338055071602074
0.55,,0.7389874408941882,0.7407664726894208
0.56,,-0.034201501495908504,0.9616812793405519
0.57,,0.40539564188147137,0.6105705670375812
0.58,,0.05289405924262136,1.1570614637833287
0.59,,-0.14791382932502672,0.29356420956149165
0.6,,0.282422087324046,0.4787603668075522
0.61,,0.7905942837967128,0.20387131135186554
0.62,,0.4721500497009602,1.1000515167291485
0.63,,0.6853462901427231,1.268239904542125
0.64,,0.5125635456839179,1.4493218594963522
0.65,,0.4269041231773185,0.7351084733210687
0.66,,0.2781553321362137,0.8546784013915505
